wl,n,k
250,1.313279,1.389656
260,1.345077,1.388477
270,1.384583,1.365736
280,1.41,1.299518
290,1.396,1.1919
300,1.345294,0.984859
310,1.145,0.640857
320,0.823196,0.401237
330,0.256486,0.769946
340,0.146818,1.070864
350,0.114359,1.319564
360,0.087299,1.519759
370,0.066912,1.688963
380,0.052206,1.841169
390,0.05,1.974126
400,0.05,2.103522
410,0.05,2.232453
420,0.046105,2.347843
430,0.040291,2.456564
440,0.04,2.552809
450,0.04,2.648397
460,0.044439,2.751107
470,0.049317,2.854522
480,0.05,2.947629
490,0.05,3.039057
500,0.05,3.130884
510,0.05,3.223284
520,0.05,3.315684
530,0.053285,3.410072
540,0.056895,3.504657
550,0.059582,3.597367
560,0.056597,3.678561
570,0.053612,3.759755
580,0.050627,3.840949
590,0.052277,3.924934
600,0.055159,4.00966
610,0.05804,4.094386
620,0.059251,4.176806
630,0.056909,4.254323
640,0.054567,4.331841
650,0.052225,4.409358
660,0.049889,4.486944
670,0.047667,4.565833
680,0.045444,4.644722
690,0.043222,4.723611
700,0.041,4.8025
710,0.038932,4.881146
720,0.03699,4.959592
730,0.035049,5.038039
740,0.033107,5.116485
750,0.031165,5.194932
760,0.030614,5.2718
770,0.032151,5.346301
780,0.033687,5.420802
790,0.035223,5.495303
800,0.036759,5.569803
810,0.038295,5.644304
820,0.039831,5.718805
830,0.04,5.800434
840,0.04,5.882945
850,0.04,5.965456
860,0.04,6.047966
870,0.04,6.130477
880,0.04,6.212987
890,0.04,6.295498
900,0.04,6.37113
910,0.04,6.445043
920,0.04,6.518957
930,0.04,6.59287
940,0.04,6.666783
950,0.04,6.740696
960,0.04,6.814609
970,0.04,6.888522
980,0.04,6.962435
990,0.04,7.038327
1000,0.04,7.115538
1010,0.04,7.19275
1020,0.04,7.269962
1030,0.04,7.347173
1040,0.04,7.424385
1050,0.04,7.501596
1060,0.04,7.578808
1070,0.04,7.656019
1080,0.04,7.733231
1090,0.040781,7.811141
1100,0.044688,7.891844
1110,0.048594,7.972547
1120,0.0525,8.05325
1130,0.056406,8.133953
1140,0.060312,8.214656
1150,0.064219,8.295359
1160,0.068125,8.376062
1170,0.072031,8.456766
1180,0.075937,8.537469
1190,0.079844,8.618172
1200,0.08375,8.698875
1210,0.087656,8.779578
1220,0.090904,8.856746
1230,0.093164,8.92861
1240,0.095424,9.000475
1250,0.097684,9.072339
1260,0.099944,9.144203
1270,0.102203,9.216068
1280,0.104463,9.287932
1290,0.106723,9.359797
1300,0.108983,9.431661
1310,0.111243,9.503525
1320,0.113503,9.57539
1330,0.115763,9.647254
1340,0.118023,9.719119
1350,0.120282,9.790983
1360,0.122542,9.862847
1370,0.124802,9.934712
1380,0.127062,10.006576
1390,0.129322,10.078441
1400,0.130645,10.156452
1410,0.131567,10.237097
1420,0.132488,10.317742
1430,0.13341,10.398387
1440,0.134332,10.479032
1450,0.135253,10.559677
