wl,n,k
250,1.294,0.779
260,1.471,1.060
270,1.806,1.174
280,2.106,1.042
290,2.214,0.813
300,2.182,0.640
310,2.096,0.554
320,1.999,0.552
330,1.934,0.639
340,1.993,0.792
350,2.216,0.836
360,2.381,0.676
370,2.388,0.502
380,2.334,0.397
390,2.273,0.342
400,2.218,0.317
410,2.171,0.312
420,2.134,0.326
430,2.113,0.364
440,2.140,0.414
450,2.204,0.407
460,2.224,0.369
470,2.228,0.353
480,2.243,0.347
490,2.270,0.335
500,2.302,0.309
510,2.328,0.266
520,2.339,0.212
530,2.332,0.159
540,2.311,0.114
550,2.283,0.080
560,2.253,0.057
570,2.225,0.042
580,2.200,0.033
590,2.178,0.029
600,2.160,0.027
610,2.146,0.026
620,2.134,0.025
630,2.123,0.024
640,2.113,0.023
650,2.105,0.022
660,2.097,0.021
670,2.090,0.021
680,2.083,0.020
690,2.077,0.019
700,2.072,0.019
710,2.066,0.018
720,2.061,0.017
730,2.057,0.017
740,2.053,0.016
750,2.049,0.016
760,2.045,0.015
770,2.041,0.015
780,2.038,0.015
790,2.034,0.014
800,2.031,0.014
810,2.028,0.013
820,2.026,0.013
830,2.023,0.013
840,2.020,0.012
850,2.018,0.012
860,2.016,0.012
870,2.014,0.011
880,2.011,0.011
890,2.009,0.011
900,2.007,0.011
910,2.006,0.010
920,2.004,0.010
930,2.002,0.010
940,2.000,0.010
950,1.999,0.009
960,1.997,0.009
970,1.996,0.009
980,1.994,0.009
990,1.993,0.009
1000,1.992,0.008
1010,1.990,0.008
1020,1.989,0.008
1030,1.988,0.008
1040,1.987,0.008
1050,1.986,0.007
1060,1.984,0.007
1070,1.983,0.007
1080,1.982,0.007
1090,1.981,0.007
1100,1.980,0.007
1110,1.980,0.007
1120,1.979,0.006
1130,1.978,0.006
1140,1.977,0.006
1150,1.976,0.006
1160,1.975,0.006
1170,1.974,0.006
1180,1.974,0.006
1190,1.973,0.006
1200,1.972,0.005
1210,1.971,0.005
1220,1.971,0.005
1230,1.970,0.005
1240,1.969,0.005
1250,1.969,0.005
1260,1.968,0.005
1270,1.967,0.005
1280,1.966,0.005
1290,1.966,0.004
1300,1.965,0.004
1310,1.964,0.004
1320,1.963,0.004
1330,1.963,0.004
1340,1.962,0.004
1350,1.961,0.004
1360,1.961,0.004
1370,1.960,0.003
1380,1.959,0.003
1390,1.958,0.003
1400,1.958,0.003
1410,1.957,0.003
1420,1.956,0.003
1430,1.955,0.003
1440,1.955,0.003
1450,1.954,0.003
