wl,n,k
250,1.659,0.632
260,1.662,0.660
270,1.661,0.692
280,1.661,0.732
290,1.665,0.784
300,1.691,0.832
310,1.730,0.916
320,1.819,0.988
330,1.920,1.039
340,2.060,1.037
350,2.162,1.012
360,2.251,0.969
370,2.329,0.900
380,2.388,0.801
390,2.414,0.720
400,2.401,0.657
410,2.378,0.614
420,2.358,0.600
430,2.355,0.597
440,2.368,0.598
450,2.396,0.595
460,2.432,0.573
470,2.463,0.541
480,2.484,0.500
490,2.497,0.459
500,2.502,0.418
510,2.502,0.385
520,2.499,0.357
530,2.492,0.336
540,2.471,0.318
550,2.430,0.301
560,2.409,0.284
570,2.399,0.269
580,2.393,0.254
590,2.386,0.241
600,2.380,0.232
610,2.374,0.223
620,2.368,0.212
630,2.362,0.206
640,2.356,0.202
650,2.351,0.198
660,2.347,0.194
670,2.346,0.192
680,2.329,0.190
690,2.309,0.187
700,2.334,0.167
710,2.378,0.120
720,2.376,0.067
730,2.347,0.036
740,2.319,0.023
750,2.297,0.018
760,2.283,0.014
770,2.269,0.010
780,2.256,0.009
790,2.244,0.007
800,2.233,0.005
810,2.222,0.002
820,2.212,0.000
830,2.202,0.000
840,2.193,0.000
850,2.184,0.000
860,2.175,0.000
870,2.167,0.000
880,2.160,0.000
890,2.153,0.000
900,2.146,0.000
910,2.139,0.000
920,2.133,0.000
930,2.127,0.000
940,2.121,0.000
950,2.115,0.000
960,2.110,0.000
970,2.105,0.000
980,2.100,0.000
990,2.095,0.000
1000,2.091,0.000
1010,2.087,0.000
1020,2.082,0.000
1030,2.079,0.000
1040,2.075,0.000
1050,2.071,0.000
1060,2.068,0.000
1070,2.064,0.000
1080,2.061,0.000
1090,2.058,0.000
1100,2.055,0.000
1110,2.052,0.000
1120,2.049,0.000
1130,2.046,0.000
1140,2.043,0.000
1150,2.041,0.000
1160,2.038,0.000
1170,2.036,0.000
1180,2.034,0.000
1190,2.032,0.000
1200,2.029,0.000
1210,2.027,0.000
1220,2.025,0.000
1230,2.023,0.000
1240,2.021,0.000
1250,2.020,0.000
1260,2.018,0.000
1270,2.016,0.000
1280,2.014,0.000
1290,2.013,0.000
1300,2.011,0.000
1310,2.010,0.000
1320,2.008,0.000
1330,2.007,0.000
1340,2.005,0.000
1350,2.004,0.000
1360,2.003,0.000
1370,2.001,0.000
1380,2.000,0.000
1390,1.999,0.000
1400,1.998,0.000
1410,1.996,0.000
1420,1.995,0.000
1430,1.994,0.000
1440,1.993,0.000
1450,1.992,0.000
