wl,n,k
250,2.294,0.344
260,2.279,0.297
270,2.262,0.254
280,2.244,0.216
290,2.224,0.182
300,2.202,0.151
310,2.181,0.124
320,2.158,0.101
330,2.135,0.080
340,2.113,0.062
350,2.090,0.047
360,2.067,0.034
370,2.045,0.024
380,2.023,0.016
390,2.002,0.010
400,1.982,0.006
410,1.963,0.004
420,1.946,0.004
430,1.931,0.004
440,1.918,0.005
450,1.905,0.005
460,1.893,0.005
470,1.882,0.006
480,1.871,0.006
490,1.860,0.007
500,1.850,0.007
510,1.840,0.008
520,1.830,0.008
530,1.820,0.009
540,1.811,0.009
550,1.801,0.010
560,1.792,0.010
570,1.783,0.011
580,1.773,0.012
590,1.764,0.012
600,1.755,0.013
610,1.746,0.014
620,1.737,0.015
630,1.728,0.015
640,1.719,0.016
650,1.709,0.017
660,1.700,0.018
670,1.691,0.019
680,1.681,0.020
690,1.672,0.021
700,1.662,0.022
710,1.653,0.023
720,1.643,0.024
730,1.633,0.025
740,1.623,0.026
750,1.613,0.028
760,1.603,0.029
770,1.592,0.030
780,1.582,0.032
790,1.571,0.033
800,1.561,0.035
810,1.550,0.036
820,1.539,0.038
830,1.528,0.040
840,1.516,0.041
850,1.505,0.043
860,1.493,0.045
870,1.482,0.047
880,1.470,0.049
890,1.457,0.051
900,1.445,0.053
910,1.432,0.056
920,1.420,0.058
930,1.407,0.060
940,1.393,0.063
950,1.380,0.066
960,1.366,0.068
970,1.352,0.071
980,1.338,0.074
990,1.324,0.077
1000,1.309,0.081
1010,1.294,0.084
1020,1.279,0.088
1030,1.264,0.091
1040,1.248,0.095
1050,1.232,0.099
1060,1.215,0.103
1070,1.199,0.108
1080,1.182,0.112
1090,1.164,0.117
1100,1.147,0.122
1110,1.128,0.128
1120,1.110,0.133
1130,1.091,0.139
1140,1.072,0.145
1150,1.052,0.152
1160,1.032,0.159
1170,1.011,0.166
1180,0.990,0.174
1190,0.969,0.183
1200,0.947,0.192
1210,0.925,0.201
1220,0.902,0.211
1230,0.878,0.222
1240,0.854,0.234
1250,0.830,0.247
1260,0.805,0.260
1270,0.780,0.275
1280,0.755,0.291
1290,0.729,0.308
1300,0.704,0.327
1310,0.678,0.347
1320,0.653,0.369
1330,0.628,0.392
1340,0.604,0.417
1350,0.580,0.443
1360,0.558,0.471
1370,0.537,0.500
1380,0.518,0.530
1390,0.500,0.560
1400,0.484,0.591
1410,0.469,0.623
1420,0.456,0.654
1430,0.444,0.686
1440,0.434,0.717
1450,0.424,0.748
