wl,n,k
250,1.379,0.000
260,1.378,0.000
270,1.377,0.000
280,1.376,0.000
290,1.375,0.000
300,1.374,0.000
310,1.373,0.000
320,1.372,0.000
330,1.371,0.000
340,1.370,0.000
350,1.370,0.000
360,1.369,0.000
370,1.368,0.000
380,1.367,0.000
390,1.367,0.000
400,1.366,0.000
410,1.366,0.000
420,1.365,0.000
430,1.364,0.000
440,1.364,0.000
450,1.363,0.000
460,1.363,0.000
470,1.363,0.000
480,1.362,0.000
490,1.362,0.000
500,1.361,0.000
510,1.361,0.000
520,1.361,0.000
530,1.360,0.000
540,1.360,0.000
550,1.360,0.000
560,1.360,0.000
570,1.359,0.000
580,1.359,0.000
590,1.359,0.000
600,1.359,0.000
610,1.358,0.000
620,1.358,0.000
630,1.358,0.000
640,1.358,0.000
650,1.358,0.000
660,1.357,0.000
670,1.357,0.000
680,1.357,0.000
690,1.357,0.000
700,1.357,0.000
710,1.357,0.000
720,1.356,0.000
730,1.356,0.000
740,1.356,0.000
750,1.356,0.000
760,1.356,0.000
770,1.356,0.000
780,1.356,0.000
790,1.356,0.000
800,1.356,0.000
810,1.355,0.000
820,1.355,0.000
830,1.355,0.000
840,1.355,0.000
850,1.355,0.000
860,1.355,0.000
870,1.355,0.000
880,1.355,0.000
890,1.355,0.000
900,1.355,0.000
910,1.355,0.000
920,1.355,0.000
930,1.354,0.000
940,1.354,0.000
950,1.354,0.000
960,1.354,0.000
970,1.354,0.000
980,1.354,0.000
990,1.354,0.000
1000,1.354,0.000
1010,1.354,0.000
1020,1.354,0.000
1030,1.354,0.000
1040,1.354,0.000
1050,1.354,0.000
1060,1.354,0.000
1070,1.354,0.000
1080,1.354,0.000
1090,1.354,0.000
1100,1.354,0.000
1110,1.354,0.000
1120,1.353,0.000
1130,1.353,0.000
1140,1.353,0.000
1150,1.353,0.000
1160,1.353,0.000
1170,1.353,0.000
1180,1.353,0.000
1190,1.353,0.000
1200,1.353,0.000
1210,1.353,0.000
1220,1.353,0.000
1230,1.353,0.000
1240,1.353,0.000
1250,1.353,0.000
1260,1.353,0.000
1270,1.353,0.000
1280,1.353,0.000
1290,1.353,0.000
1300,1.353,0.000
1310,1.353,0.000
1320,1.353,0.000
1330,1.353,0.000
1340,1.353,0.000
1350,1.353,0.000
1360,1.353,0.000
1370,1.353,0.000
1380,1.353,0.000
1390,1.353,0.000
1400,1.353,0.000
1410,1.353,0.000
1420,1.353,0.000
1430,1.352,0.000
1440,1.352,0.000
1450,1.352,0.000
