wl,n,k
250,1.665,3.661
260,1.757,4.076
270,2.068,4.684
280,2.959,5.281
290,4.356,5.285
300,4.976,4.226
310,5.121,3.602
320,5.112,3.310
330,5.195,3.099
340,5.301,2.976
350,5.494,2.952
360,6.026,2.979
370,6.891,2.170
380,6.616,0.947
390,6.039,0.444
400,5.613,0.296
410,5.330,0.227
420,5.119,0.176
430,4.949,0.138
440,4.812,0.108
450,4.691,0.086
460,4.587,0.071
470,4.497,0.062
480,4.419,0.055
490,4.350,0.049
500,4.294,0.044
510,4.241,0.039
520,4.193,0.036
530,4.151,0.033
540,4.112,0.030
550,4.077,0.028
560,4.045,0.026
570,4.015,0.024
580,3.988,0.023
590,3.963,0.021
600,3.940,0.020
610,3.918,0.018
620,3.898,0.017
630,3.879,0.016
640,3.861,0.015
650,3.844,0.014
660,3.828,0.014
670,3.813,0.013
680,3.798,0.012
690,3.784,0.011
700,3.772,0.011
710,3.759,0.010
720,3.748,0.010
730,3.737,0.009
740,3.727,0.008
750,3.717,0.008
760,3.708,0.007
770,3.699,0.007
780,3.691,0.006
790,3.683,0.006
800,3.675,0.005
810,3.668,0.005
820,3.661,0.005
830,3.654,0.004
840,3.647,0.004
850,3.641,0.004
860,3.635,0.003
870,3.630,0.003
880,3.624,0.003
890,3.619,0.002
900,3.614,0.002
910,3.609,0.002
920,3.604,0.002
930,3.600,0.002
940,3.595,0.001
950,3.591,0.001
960,3.587,0.001
970,3.583,0.001
980,3.579,0.001
990,3.575,0.001
1000,3.572,0.001
1010,3.568,0.000
1020,3.565,0.000
1030,3.562,0.000
1040,3.559,0.000
1050,3.556,0.000
1060,3.553,0.000
1070,3.550,0.000
1080,3.547,0.000
1090,3.545,0.000
1100,3.542,0.000
1110,3.540,0.000
1120,3.537,0.000
1130,3.535,0.000
1140,3.532,0.000
1150,3.530,0.000
1160,3.528,0.000
1170,3.526,0.000
1180,3.524,0.000
1190,3.522,0.000
1200,3.520,0.000
1210,3.518,0.000
1220,3.517,0.000
1230,3.515,0.000
1240,3.513,0.000
1250,3.511,0.000
1260,3.509,0.000
1270,3.508,0.000
1280,3.506,0.000
1290,3.505,0.000
1300,3.503,0.000
1310,3.502,0.000
1320,3.500,0.000
1330,3.499,0.000
1340,3.497,0.000
1350,3.496,0.000
1360,3.495,0.000
1370,3.494,0.000
1380,3.492,0.000
1390,3.491,0.000
1400,3.490,0.000
1410,3.489,0.000
1420,3.488,0.000
1430,3.487,0.000
1440,3.486,0.000
1450,3.485,0.000
