wl,n,k
250,2.325,0.391
260,2.331,0.370
270,2.336,0.336
280,2.341,0.300
290,2.343,0.265
300,2.343,0.232
310,2.337,0.199
320,2.321,0.171
330,2.304,0.144
340,2.284,0.116
350,2.263,0.095
360,2.246,0.078
370,2.228,0.063
380,2.209,0.050
390,2.190,0.039
400,2.172,0.032
410,2.156,0.025
420,2.142,0.024
430,2.131,0.022
440,2.120,0.020
450,2.110,0.018
460,2.100,0.015
470,2.090,0.012
480,2.081,0.011
490,2.074,0.010
500,2.069,0.010
510,2.063,0.010
520,2.058,0.010
530,2.052,0.010
540,2.046,0.010
550,2.041,0.010
560,2.035,0.010
570,2.029,0.010
580,2.024,0.010
590,2.021,0.010
600,2.018,0.011
610,2.014,0.010
620,2.010,0.010
630,2.002,0.009
640,1.995,0.010
650,1.992,0.010
660,1.989,0.010
670,1.986,0.011
680,1.983,0.012
690,1.980,0.012
700,1.975,0.013
710,1.971,0.014
720,1.965,0.015
730,1.960,0.015
740,1.958,0.016
750,1.956,0.017
760,1.953,0.018
770,1.948,0.019
780,1.944,0.021
790,1.940,0.021
800,1.936,0.022
810,1.933,0.022
820,1.929,0.021
830,1.925,0.021
840,1.922,0.022
850,1.917,0.022
860,1.912,0.022
870,1.908,0.023
880,1.906,0.022
890,1.903,0.022
900,1.900,0.022
910,1.897,0.022
920,1.894,0.021
930,1.892,0.020
940,1.888,0.020
950,1.884,0.020
960,1.880,0.021
970,1.877,0.023
980,1.873,0.024
990,1.867,0.025
1000,1.862,0.025
1010,1.858,0.026
1020,1.855,0.028
1030,1.850,0.030
1040,1.844,0.031
1050,1.841,0.031
1060,1.839,0.031
1070,1.835,0.030
1080,1.828,0.030
1090,1.822,0.030
1100,1.819,0.031
1110,1.816,0.031
1120,1.811,0.032
1130,1.807,0.032
1140,1.802,0.033
1150,1.797,0.034
1160,1.792,0.035
1170,1.788,0.035
1180,1.783,0.035
1190,1.778,0.035
1200,1.773,0.035
1210,1.768,0.036
1220,1.764,0.038
1230,1.760,0.040
1240,1.755,0.042
1250,1.750,0.044
1260,1.744,0.045
1270,1.739,0.045
1280,1.733,0.047
1290,1.727,0.049
1300,1.720,0.050
1310,1.713,0.051
1320,1.709,0.053
1330,1.706,0.054
1340,1.701,0.056
1350,1.693,0.057
1360,1.686,0.058
1370,1.680,0.061
1380,1.674,0.063
1390,1.668,0.066
1400,1.661,0.069
1410,1.653,0.072
1420,1.645,0.075
1430,1.638,0.077
1440,1.631,0.079
1450,1.623,0.080
