wl,n,k
250,1.810902791,0.123978621
260,1.772740131,0.071482159
270,1.72491963,0.046814656
280,1.673750497,0.046483582
290,1.628181554,0.072368503
300,1.603098059,0.117263619
310,1.601773661,0.164256814
320,1.623523679,0.203336333
330,1.649775773,0.220881684
340,1.660933912,0.220684159
350,1.64245668,0.243263969
360,1.640281796,0.324628988
370,1.738235841,0.429004459
380,1.907750516,0.431178704
390,2.032286425,0.336814095
400,2.056281223,0.202467672
410,2.027824223,0.094835046
420,1.974322631,0.041845426
430,1.931226051,0.020526822
440,1.899987049,0.013186731
450,1.880616133,0.009424664
460,1.865142514,0.006834681
470,1.85181417,0.005359193
480,1.841593685,0.00417235
490,1.832938917,0.003730336
500,1.824284149,0.003288322
510,1.819293117,0.003219232
520,1.814561115,0.003215307
530,1.809829113,0.003211382
540,1.805271923,0.002991822
550,1.802210618,0.002751146
560,1.799149314,0.002510471
570,1.79608801,0.002269795
580,1.793026706,0.002105653
590,1.790463732,0.001966851
600,1.788608092,0.001828049
610,1.786752453,0.001689247
620,1.784896814,0.001550445
630,1.783041175,0.001470075
640,1.781185536,0.00139147
650,1.779383351,0.001312866
660,1.778281346,0.001234261
670,1.77717934,0.001189636
680,1.776077334,0.001281556
690,1.774975329,0.001373476
700,1.773873323,0.001465396
710,1.772771318,0.001557316
720,1.771669312,0.001517085
730,1.770787098,0.001467019
740,1.770076448,0.001416952
750,1.769365798,0.001366886
760,1.768655148,0.00134932
770,1.767944499,0.001333297
780,1.767258239,0.001317274
790,1.766693752,0.001301251
800,1.766129266,0.001285228
810,1.765564779,0
820,1.765000293,0
830,1.764435806,0
840,1.763871319,0
850,1.76339494,0
860,1.762976115,0
870,1.76255729,0
880,1.762138466,0
890,1.761719641,0
900,1.761300816,0
910,1.760929711,0
920,1.760640843,0
930,1.760351976,0
940,1.760063108,0
950,1.759774241,0
960,1.759485374,0
970,1.759154883,0
980,1.758816647,0
990,1.75847841,0
1000,1.758140174,0
1010,1.757874047,0
1020,1.757650676,0
1030,1.757427305,0
1040,1.757203934,0
1050,1.756998624,0
1060,1.756819185,0
1070,1.756639747,0
1080,1.756460309,0
1090,1.756085598,0
1100,1.755656868,0
1110,1.755228138,0
1120,1.755179508,0
1130,1.755175751,0
1140,1.755174226,0
1150,1.755174226,0
1160,1.755174226,0
1170,1.754892362,0
1180,1.754603358,0
1190,1.754314354,0
1200,1.754102728,0
1210,1.754102728,0
1220,1.754102728,0
1230,1.754102728,0
1240,1.754102728,0
1250,1.754102728,0
1260,1.754102728,0
1270,1.754102728,0
1280,1.754102728,0
1290,1.754102728,0
1300,1.754102728,0
1310,1.754102728,0
1320,1.754102728,0
1330,1.754102728,0
1340,1.754102728,0
1350,1.754102728,0
1360,1.754102728,0
1370,1.754102728,0
1380,1.754102728,0
1390,1.754102728,0
1400,1.754102728,0
1410,1.754102728,0
1420,1.754102728,0
1430,1.754102728,0
1440,1.754102728,0
1450,1.754102728,0
