x,n,p
0.0,9.99999999999992e21,0.57720606790652
6.944444444444445e-10,8.202123487547219e21,389260.34545515256
1.388888888888889e-9,6.727139889261145e21,857001.6300189875
2.0833333333333334e-9,5.516889626335033e21,1.4205369464006433e6
2.777777777777778e-9,4.523794870804398e21,2.1010629119365592e6
3.4722222222222226e-9,3.708890830698566e21,2.9245316400300656e6
4.166666666666667e-9,3.0402387896304497e21,3.922720624280153e6
4.861111111111111e-9,2.491641771569901e21,5.134546420379933e6
5.555555555555556e-9,2.041601677904308e21,6.607677907340516e6
6.2500000000000005e-9,1.6724701849433662e21,8.400517813696686e6
6.944444444444445e-9,1.3697558593118567e21,1.0584637098831207e7
7.638888888888889e-9,1.1215577283142122e21,1.3247766388796194e7
8.333333333333334e-9,9.181015552899471e20,1.6497472850651065e7
9.027777777777778e-9,7.513597611654924e20,2.0465680725939363e7
9.722222222222223e-9,6.147396243985241e20,2.5314230564094085e7
1.076117366605734e-8,4.550729426093682e20,3.465564660768407e7
1.1501900991324378e-8,3.671139594922943e20,4.32628799093544e7
1.2222640139188359e-8,2.977887627172846e20,5.362176427812789e7
1.292393048118624e-8,2.4285375583114713e20,6.602296722073459e7
1.3606296834168526e-8,1.9909186883127732e20,8.079216513479164e7
1.4270249853050616e-8,1.64050989038099e20,9.829207579955237e7
1.4916286412965935e-8,1.3585216935633235e20,1.1892429225151524e8
1.5544889981106863e-8,1.1304821738144737e20,1.43130871165958e8
1.6156530978531682e-8,9.451886698293422e19,1.713956298762231e8
1.6751667132208363e-8,7.939265927247254e19,2.042451082579647e8
1.733074381755859e-8,6.69884287494293e19,2.4224915487433925e8
1.7894194391758426e-8,5.677125490326234e19,2.860211009756964e8
1.844244051804499e-8,4.831914112127517e19,3.3621749109862e8
1.897589248127188e-8,4.129768811555702e19,3.9353734500936353e8
1.9494949494949496e-8,3.5440754032128127e19,4.587209324571607e8
2.0e-8,3.0535618821351973e19,5.3254804949216723e8
2.0e-8,2.8304393258366463e22,6.77183406929118
5.646623093681917e-7,1.0058097046850097e22,4.011187332767468e7
1.1257644590739013e-6,1.0000304977371657e22,6.371209228274679e7
1.703802661808322e-6,1.0000001513780148e22,8.743601709361453e7
2.299288107721664e-6,1.0000000007083863e22,1.1157358001771586e8
2.9127474164959904e-6,1.000000000003121e22,1.361212865499691e8
3.5447231030632155e-6,1.0000000000000283e22,1.6107210373338166e8
4.195774057380123e-6,1.0000000000000283e22,1.8641758718795234e8
4.866476038684696e-6,1.0000000000000283e22,2.12147781505245e8
5.557422184670858e-6,1.000000000000062e22,2.382510982397234e8
6.26922353603191e-6,1.000000000000062e22,2.6471418546587253e8
7.002509576836555e-6,1.0000000000000283e22,2.915217884474555e8
7.757928791215377e-6,1.0000000000000283e22,3.186566008464438e8
8.536149236850107e-6,1.0000000000000283e22,3.460991058630416e8
9.337859135772817e-6,1.0000000000000283e22,3.738274066587482e8
1.0163767482997532e-5,1.0000000000000283e22,4.018170453736084e8
1.1014604673522507e-5,1.0000000000000283e22,4.3004081000443316e8
1.1891123148257654e-5,1.0000000000000283e22,4.5846852836411077e8
1.2794098059448348e-5,1.000000000000062e22,4.8706684829213125e8
1.3724327956184083e-5,1.0000000000000283e22,5.1579900323289937e8
1.468263549059822e-5,1.0000000000000283e22,5.44624562241712e8
1.5669868145383332e-5,1.000000000000062e22,5.734991634175231e8
1.668689898326556e-5,1.000000000000062e22,6.023742296969843e8
1.773462741910075e-5,1.000000000000062e22,6.311966658744001e8
1.8813980015275194e-5,1.000000000000062e22,6.599085356390055e8
1.992591130111439e-5,1.000000000000062e22,6.88446717341716e8
2.107140461702446e-5,1.000000000000062e22,7.167425371181363e8
2.2251472984112757e-5,1.000000000000062e22,7.447213779055213e8
2.3467160000056692e-5,1.0000000000000975e22,7.723022627929393e8
2.4719540762013078e-5,1.000000000000062e22,7.993974110410322e8
2.600972281738414e-5,1.0000000000000975e22,8.259117649964049e8
2.733884714328102e-5,1.000000000000062e22,8.517424860051724e8
2.8708089155550947e-5,1.0000000000000975e22,8.767784173041462e8
3.011865974826047e-5,1.0000000000000975e22,9.008995117276233e8
3.157180636455394e-5,1.0000000000000975e22,9.239762219226427e8
3.306881409983429e-5,1.0000000000000975e22,9.458688506037998e8
3.4611006838241776e-5,1.000000000000062e22,9.664268582094593e8
3.619974842343565e-5,1.0000000000000975e22,9.854881251348759e8
3.783644386471415e-5,1.0000000000000975e22,1.0028781655192248e9
3.952254057953951e-5,1.0000000000000975e22,1.018409289349076e9
4.125952967356676e-5,1.0000000000000975e22,1.031879709407312e9
4.304894725930834e-5,1.0000000000000975e22,1.0430725893466793e9
4.489237581460069e-5,1.0000000000000975e22,1.0517550288945456e9
4.679144558207418e-5,1.0000000000000975e22,1.0576769819015089e9
4.874783601086402e-5,1.0000000000000975e22,1.0605701026255466e9
5.076327724183707e-5,1.0000000000000975e22,1.0601465153001231e9
5.283955163764813e-5,1.0000000000001313e22,1.0560975016530132e9
5.497849535897872e-5,1.0000000000000975e22,1.0480921006367307e9
5.718199998835231e-5,1.0000000000001313e22,1.0357756141826433e9
5.945201420296213e-5,1.0000000000000975e22,1.0187680123047892e9
6.179054549799078e-5,1.0000000000000975e22,9.966622303468672e8
6.419966196194575e-5,1.0000000000000975e22,9.690223505858985e8
6.668666666666666e-5,1.0000000000000975e22,9.353060714282138e8
6.915503439202076e-5,1.0000000000000975e22,8.966344842571081e8
7.147764148493718e-5,1.0000000000000975e22,8.55506803617311e8
7.366405379363876e-5,1.000000000000062e22,8.125898624455819e8
7.572225761047082e-5,1.000000000000062e22,7.684651997086059e8
7.765977092155245e-5,1.0000000000000975e22,7.236261390868894e8
7.948367086766979e-5,1.000000000000062e22,6.784891249697844e8
8.120061959489673e-5,1.000000000000062e22,6.334036859519814e8
8.281688858936741e-5,1.0000000000000283e22,5.886611891281252e8
8.433838158508805e-5,1.0000000000000283e22,5.445025288451406e8
8.577065612846325e-5,1.000000000000062e22,5.011248763924937e8
8.711894387830528e-5,1.0000000000000283e22,4.586876020589768e8
8.838816971547631e-5,1.000000000000062e22,4.173174677765886e8
8.95829697319648e-5,1.0000000000000283e22,3.7711317696896726e8
9.070770816510505e-5,9.999999999999945e21,3.381493580158554e8
9.176649333879525e-5,1.0000000000000283e22,3.0048004876159847e8
9.27631926699422e-5,1.0000000000000283e22,2.641417415792488e8
9.370144679494704e-5,1.0000000000000283e22,2.291560415232855e8
9.45846828678313e-5,1.0000000000000283e22,1.9553198394700494e8
9.541612707857749e-5,1.0000000000000283e22,1.6326805252582976e8
9.61988164374098e-5,9.999999999997886e21,1.3235393382988659e8
9.693560986805929e-5,9.999999999226572e21,1.0277204035881989e8
9.762919865053376e-5,9.999999772783001e21,7.449883215165864e7
9.828211625153676e-5,9.99994081108074e21,4.7506309597208805e7
