x,n,p
0.0,9.99999999999992e21,0.57720606790652
6.944444444444445e-10,8.202123487547496e21,0.7037276002767215
1.388888888888889e-9,6.727139889261385e21,0.8580259626054654
2.0833333333333334e-9,5.51688962633523e21,1.0462527021588068
2.777777777777778e-9,4.523794870804559e21,1.2759333355976394
3.4722222222222226e-9,3.708890830698691e21,1.5562767799174577
4.166666666666667e-9,3.0402387896305524e21,1.8985550407264458
4.861111111111111e-9,2.491641771570069e21,2.3165692375705995
5.555555555555556e-9,2.0416016779044454e21,2.827221755122047
6.2500000000000005e-9,1.672470184943479e21,3.4512188803295105
6.944444444444445e-9,1.3697558593119493e21,4.213933921016074
7.638888888888889e-9,1.1215577283143277e21,5.1464677504744945
8.333333333333334e-9,9.181015552900417e20,6.28695229390137
9.027777777777778e-9,7.513597611655698e20,7.682153047577473
9.722222222222223e-9,6.147396243985666e20,9.389439772508997
1.076117366605734e-8,4.5507294260941514e20,12.68381426056185
1.1501900991324378e-8,3.671139594923321e20,15.72280358678571
1.2222640139188359e-8,2.977887627173047e20,19.38307082643228
1.292393048118624e-8,2.4285375583117217e20,23.767640155739585
1.3606296834168526e-8,1.9909186883130455e20,28.99194584363444
1.4270249853050616e-8,1.6405098903811038e20,35.18455275953409
1.4916286412965935e-8,1.3585216935635093e20,42.48780646207109
1.5544889981106863e-8,1.1304821738145902e20,51.058396255718634
1.6156530978531682e-8,9.451886698294395e19,61.06781495917317
1.6751667132208363e-8,7.939265927247805e19,72.70269987122164
1.733074381755859e-8,6.698842874943394e19,86.16504054237737
1.7894194391758426e-8,5.677125490326426e19,101.6722404481013
1.844244051804499e-8,4.831914112127689e19,119.45702148508329
1.897589248127188e-8,4.129768811555842e19,139.76716233881788
1.9494949494949496e-8,3.5440754032128127e19,162.86506415277123
2.0e-8,3.053561882135094e19,189.02713951319194
2.0e-8,2.8304393258365507e22,2.403652449007607e-6
5.646623093681917e-7,1.0058097046849757e22,6.7640950227710745e-6
1.1257644590739013e-6,1.0000304977371657e22,6.8031849355683985e-6
1.703802661808322e-6,1.0000001513780148e22,6.803391387430582e-6
2.299288107721664e-6,1.0000000007083863e22,6.80339241249506e-6
2.9127474164959904e-6,1.000000000003121e22,6.803392417293292e-6
3.5447231030632155e-6,1.0000000000000283e22,6.803392417314272e-6
4.195774057380123e-6,9.999999999999945e21,6.8033924173145625e-6
4.866476038684696e-6,9.999999999999945e21,6.8033924173145625e-6
5.557422184670858e-6,9.999999999999945e21,6.8033924173145625e-6
6.26922353603191e-6,9.999999999999945e21,6.8033924173145625e-6
